name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,402,274,310,275,232,249,274,324,243,289,381,276,293,279,283,278,344,259,305,277,380,190,250,254,256,329,319,261,277,298,286,301,271,254,276,259,288,317,254,317,263,267,290,299,347,282,342,270,382,421,335,323,230,392,439,357,252,402,390,402,366,303,340,383,254,342,331,277,293,266,275,400,424,315,310,301,539,419,435,374,315,245,238,235,246,241,285,239,265,332,268,209,206,270,230,231,227,261,199,291,261,255,155,243,216,231,209,239,215,218,272,232,214,305,251,227,233,217,228,225
2,903,607,683,710,620,731,707,728,639,761,953,687,782,836,765,740,911,669,748,679,871,565,657,730,643,829,827,667,720,807,775,740,743,684,717,688,739,722,678,743,749,653,727,713,926,830,834,771,950,1230,898,794,673,886,983,843,890,839,821,892,874,859,787,790,709,809,855,791,814,790,796,954,977,837,863,781,1055,875,941,933,851,728,643,631,657,630,798,720,815,959,583,555,571,638,618,683,716,767,653,753,519,467,405,485,451,503,459,460,432,503,570,476,491,616,569,594,538,526,553,587
3,1412,1121,1262,1238,1216,1272,1393,1279,1179,1359,1466,1227,1375,1531,1397,1402,1612,1248,1340,1221,1410,1074,1150,1232,1153,1497,1418,1175,1210,1458,1374,1287,1325,1281,1280,1243,1350,1231,1224,1302,1319,1189,1283,1283,1587,1489,1520,1472,1658,1986,1462,1347,1268,1537,1622,1529,1537,1415,1401,1584,1561,1560,1371,1323,1276,1482,1445,1475,1421,1438,1406,1884,1655,1517,1542,1376,1748,1514,1779,1558,1573,1348,1228,1169,1175,1145,1380,1297,1374,1558,901,880,907,922,971,1044,1108,1347,1110,1174,962,793,757,846,763,905,785,786,757,821,954,904,850,1037,969,1043,930,952,943,1004
4,1869,1524,1679,1809,1658,1747,1929,1698,1612,1864,1946,1716,1970,2033,1942,2025,2196,1709,1770,1702,1850,1503,1572,1734,1607,2046,1891,1638,1648,2014,1851,1724,1790,1820,1757,1674,1812,1703,1699,1757,1792,1633,1744,1768,2107,2011,2046,2077,2177,2623,2089,1883,1745,2087,2131,2076,2158,1892,1934,2145,2210,2021,1778,1839,1773,2002,1991,1981,1965,2062,1975,2393,2312,1984,2137,1876,2251,2031,2388,2169,2064,1795,1764,1602,1610,1554,1908,1785,1866,2148,1233,1268,1283,1302,1387,1449,1636,1786,1571,1619,1235,1057,1003,1122,1034,1147,1012,998,979,1111,1282,1209,1202,1340,1316,1451,1243,1408,1365,1373
5,2413,2050,2234,2351,2252,2348,2524,2285,2200,2510,2519,2271,2629,2706,2588,2666,2916,2383,2366,2308,2407,2035,2101,2261,2174,2648,2401,2210,2231,2724,2470,2236,2374,2462,2317,2283,2405,2281,2292,2309,2391,2166,2384,2312,2830,2638,2674,2869,2873,3373,2682,2497,2365,2686,2747,2762,2829,2476,2559,2825,2868,2546,2316,2436,2380,2634,2561,2573,2594,2705,2566,3135,2980,2669,2897,2538,2895,2739,3123,3062,2611,2367,2305,2164,2164,2140,2515,2354,2398,2829,1570,1677,1605,1608,1751,1791,2119,2253,2022,2035,1608,1416,1317,1482,1376,1510,1321,1307,1331,1447,1685,1561,1610,1722,1721,1894,1627,1787,1759,1775
6,2827,2442,2652,2885,2749,2835,3034,2762,2671,3070,2991,2743,3199,3289,3181,3246,3487,2913,2842,2747,2831,2483,2522,2753,2658,3183,2949,2754,2678,3270,3030,2669,2869,3066,2774,2770,2859,2752,2736,2753,2843,2589,2893,2819,3475,3163,3299,3476,3474,4001,3203,3118,2884,3306,3273,3294,3326,2993,3129,3442,3424,3194,2803,2912,2890,3231,3110,3181,3125,3319,3177,3754,3452,3198,3478,3060,3374,3229,3831,3613,3130,2874,2768,2597,2600,2636,3112,2857,2925,3441,1938,2033,2009,1998,2149,2212,2711,2810,2541,2493,1890,1681,1560,1701,1610,1788,1561,1544,1528,1723,2051,1869,1932,2110,2082,2256,1986,2134,2117,2198
7,3398,3010,3263,3467,3346,3469,3686,3329,3401,3803,3548,3309,3894,3955,3938,3979,4126,3448,3374,3333,3398,3023,3061,3257,3173,3746,3509,3386,3254,3974,3629,3217,3471,3815,3375,3368,3441,3335,3337,3312,3492,3223,3528,3572,4159,3869,3953,4233,4120,4784,3834,3718,3523,3943,3965,3921,4003,3629,3709,4117,4065,3637,3262,3470,3644,3884,3702,3776,3794,4022,3845,4376,4170,3920,4156,3720,4026,3950,4614,4419,3692,3502,3324,3169,3185,3194,3689,3429,3528,4169,2282,2354,2309,2342,2539,2619,3121,3248,3018,2964,2288,2015,1915,2026,1962,2148,1874,1978,1856,2067,2435,2268,2381,2524,2510,2714,2402,2568,2573,2587
8,3846,3555,3701,3925,3795,3937,4245,3790,3828,4338,4025,3853,4444,4587,4565,4481,4689,4117,3823,3900,3861,3492,3509,3784,3667,4255,3974,3900,3721,4592,4146,3654,3949,4425,3984,3822,3935,3855,3778,3781,4012,3606,4020,4176,4742,4477,4597,4938,4775,5448,4448,4171,4052,4462,4544,4463,4615,4148,4370,4629,4597,4226,3686,4000,4172,4448,4306,4355,4325,4595,4448,4886,4850,4462,4749,4328,4647,4604,5245,5009,4162,4025,3780,3617,3652,3660,4149,3911,4026,4775,2649,2820,2659,2779,2963,3079,3771,3742,3532,3481,2553,2303,2176,2280,2272,2373,2133,2196,2134,2290,2760,2556,2840,2851,2893,3118,2766,2914,2940,3001
9,4458,4129,4257,4528,4379,4560,4903,4412,4486,4980,4593,4480,5037,5311,5238,5091,5307,4824,4325,4577,4467,4033,4072,4353,4225,4756,4559,4446,4248,5239,4814,4273,4512,5040,4548,4400,4555,4487,4413,4369,4691,4127,4618,4904,5399,5160,5357,5681,5549,6218,4986,4803,4717,5147,5318,5161,5313,4794,5008,5416,5208,4648,4239,4591,4816,5053,4908,5009,4967,5323,5150,5537,5540,5178,5581,5077,5337,5357,6082,5867,4804,4595,4319,4228,4241,4206,4743,4425,4579,5482,3061,3191,3032,3130,3378,3494,4165,4191,4005,4005,2944,2683,2489,2646,2605,2709,2440,2545,2449,2578,3128,2939,3266,3304,3347,3595,3138,3365,3330,3391
10,5034,4555,4661,4956,4807,5076,5438,4912,4969,5531,5064,5021,5597,5853,5740,5653,5849,5444,4754,5193,4930,4474,4537,4823,4650,5253,5046,4961,4730,5755,5370,4719,5066,5472,5070,4912,5060,4943,4914,4838,5195,4553,5071,5471,5958,5702,6022,6436,6200,6885,5539,5329,5248,5682,5993,5797,5914,5302,5509,5980,5712,5114,4736,5081,5419,5588,5492,5563,5543,6069,5791,6166,6229,5846,6262,5747,5910,6068,6884,6634,5308,5108,4756,4645,4655,4693,5180,4880,5049,6124,3555,3623,3453,3607,3848,3974,4789,4682,4560,4528,3228,2926,2762,2922,2920,2949,2685,2777,2730,2847,3445,3276,3640,3687,3772,4040,3515,3803,3710,3875
