name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,397,300,300,301,275,249,288,315,325,248,585,518,494,347,363,297,339,385,445,490,427,405,319,340,326,329,418,315,397,378,343,265,404,271,279,299,252,304,458,293,314,302,255,304,313,307,328,268,305,275,637,325,474,278,285,305,281,259,272,299,367,295,296,321,253,387,334,340,364,398,412,261,352,502,322,300,320,268,345,276,356,303,303,268,271,299,342,348,308,307,258,258,224,246,210,226,204,257,228,208,302,299,265,278,241,350,206,277,299,252,298,253,332,260,375,464,288,365,366,315
2,902,819,804,814,774,708,824,842,790,736,1192,1046,1011,863,878,777,868,929,998,1055,968,944,885,913,837,921,1011,829,939,936,821,802,805,721,704,781,725,802,977,711,829,796,744,766,802,807,838,797,787,772,1213,822,921,703,686,711,620,696,714,692,844,721,741,811,781,786,841,848,817,931,909,757,817,971,799,820,794,745,904,837,817,765,903,759,716,787,767,812,794,822,776,682,610,632,518,600,637,664,584,617,765,661,638,583,592,765,602,623,694,608,735,641,734,708,810,814,667,728,733,706
3,1572,1453,1382,1462,1395,1276,1386,1410,1323,1370,1898,1787,1687,1554,1692,1452,1508,1581,1727,1838,1643,1650,1549,1594,1486,1580,1683,1473,1663,1626,1483,1413,1365,1286,1269,1333,1255,1444,1648,1308,1480,1409,1337,1341,1476,1457,1444,1427,1408,1409,1872,1447,1486,1259,1193,1203,1164,1257,1204,1289,1478,1327,1277,1353,1331,1351,1459,1431,1441,1553,1507,1361,1352,1548,1341,1362,1426,1317,1499,1502,1392,1440,1522,1398,1344,1415,1392,1422,1429,1509,1372,1165,1110,1088,996,1085,1083,1144,1075,1100,1369,1238,1126,1126,1201,1329,1151,1103,1315,1204,1307,1141,1307,1380,1527,1457,1268,1376,1397,1303
4,2148,2015,2071,2082,1964,1784,1955,1897,1871,1859,2475,2323,2209,2037,2225,1970,2018,2112,2260,2402,2255,2214,2116,2166,2092,2157,2200,2050,2326,2183,2124,1920,1864,1760,1807,1803,1747,1994,2171,1835,2065,1941,1847,1820,1992,2009,2026,1954,1907,1926,2436,1990,2004,1708,1665,1628,1623,1693,1659,1801,2031,1843,1741,1792,1789,1878,1948,1975,1954,2063,2023,1814,1856,2080,1854,1880,1957,1850,2057,2042,1934,1963,2055,1919,1813,1916,1860,1967,2056,2037,1889,1595,1558,1479,1440,1516,1487,1554,1478,1476,1795,1599,1542,1470,1630,1865,1612,1472,1697,1599,1755,1581,1754,1747,1991,1917,1754,1817,1821,1755
5,2785,2695,2775,2731,2605,2453,2604,2494,2486,2413,3272,3023,2809,2611,2894,2681,2685,2828,3016,3149,3050,2971,2827,2917,2842,2919,2992,2730,3092,3000,2873,2543,2446,2320,2350,2354,2360,2672,2740,2444,2684,2552,2506,2409,2627,2610,2711,2660,2556,2628,3180,2651,2560,2209,2184,2126,2188,2237,2195,2356,2710,2437,2307,2345,2348,2459,2519,2588,2603,2653,2648,2424,2549,2702,2461,2480,2595,2500,2638,2731,2609,2572,2576,2514,2529,2577,2421,2609,2735,2648,2401,2162,2152,1958,1970,2021,1983,2057,1950,1941,2368,2155,2214,2207,2209,2529,2221,2197,2278,2200,2471,2208,2357,2372,2732,2591,2449,2493,2514,2403
6,3346,3253,3403,3317,3121,2975,3182,3014,2914,3009,3868,3564,3325,3123,3436,3258,3217,3461,3597,3701,3605,3564,3482,3493,3425,3528,3606,3307,3676,3553,3544,3089,2973,2849,2910,2826,2925,3237,3269,2954,3263,3090,3066,2990,3136,3105,3281,3245,3083,3141,3821,3185,3021,2612,2671,2546,2679,2706,2663,2865,3283,2947,2799,2858,2882,2982,3102,3067,3142,3133,3149,2908,3058,3234,2971,3004,3157,3060,3183,3280,3185,3042,3065,3009,3085,3102,2861,3166,3357,3172,2917,2627,2577,2395,2400,2444,2431,2519,2403,2341,2778,2528,2636,2585,2622,2980,2653,2654,2692,2647,2943,2701,2822,2857,3310,3071,2981,3002,3102,2793
7,4034,3922,4075,3970,3783,3600,3779,3635,3534,3589,4644,4294,4010,3775,4201,3986,3956,4295,4352,4445,4320,4327,4321,4249,4210,4278,4354,3999,4470,4524,4243,3679,3526,3440,3565,3456,3606,3879,3955,3569,3982,3709,3677,3719,3846,3719,4059,3947,3764,3812,4559,3810,3577,3116,3224,3020,3216,3286,3140,3449,3981,3618,3425,3478,3596,3584,3759,3665,3834,3813,3785,3478,3704,3844,3613,3638,3838,3671,3857,3888,3897,3622,3660,3671,3718,3735,3511,3854,4117,3865,3448,3158,3159,2889,2870,2969,2960,3068,2965,2855,3484,3076,3286,3195,3248,3627,3263,3278,3299,3182,3627,3348,3419,3571,4003,3704,3705,3719,3871,3512
8,4621,4556,4688,4543,4440,4212,4318,4116,4067,4257,5307,4863,4586,4342,4766,4507,4560,4934,4910,5063,4944,4996,4982,4944,4812,4846,4980,4567,5138,5195,4829,4181,4057,3916,4154,3979,4156,4431,4526,4101,4479,4317,4192,4331,4477,4342,4650,4527,4424,4426,5182,4344,4089,3485,3687,3426,3690,3796,3579,3967,4523,4197,3976,3965,4142,4108,4282,4219,4493,4426,4322,3928,4185,4380,4102,4235,4393,4190,4440,4439,4489,4153,4097,4250,4264,4244,3986,4458,4681,4435,3947,3648,3614,3360,3281,3413,3560,3617,3425,3270,4008,3497,3739,3673,3745,4112,3739,3855,3819,3624,4084,3801,3844,4144,4476,4150,4225,4237,4461,4021
9,5235,5230,5408,5254,5219,4833,4978,4823,4723,4880,6007,5633,5275,5043,5489,5298,5384,5746,5697,5873,5748,5837,5876,5813,5587,5602,5750,5316,5866,6027,5516,4745,4616,4515,4789,4571,4857,5128,5246,4794,5063,4965,4816,5073,5184,5185,5396,5499,5163,5118,5822,5024,4706,3999,4228,3918,4229,4386,4108,4512,5153,4810,4725,4558,4786,4689,4897,4865,5174,5080,4923,4510,4793,4960,4728,4888,4975,4941,5140,5132,5178,4837,4753,4876,4975,4870,4615,5109,5464,5086,4550,4206,4139,3870,3840,3960,4266,4198,4027,3872,4682,4128,4369,4302,4392,4736,4350,4527,4461,4182,4701,4503,4528,4975,5208,4825,4945,4847,5146,4737
10,5869,5794,6174,5896,5778,5457,5559,5527,5261,5392,6557,6252,5860,5612,6107,5867,6060,6428,6297,6544,6370,6569,6617,6481,6273,6214,6383,6022,6505,6686,6094,5310,5173,5014,5394,5084,5426,5714,5841,5484,5661,5544,5386,5761,5853,5790,6023,6085,5818,5744,6377,5563,5185,4426,4695,4349,4700,4912,4580,5015,5698,5326,5260,5087,5312,5183,5369,5369,5733,5692,5506,5133,5357,5424,5296,5491,5540,5537,5724,5764,5727,5365,5304,5465,5546,5483,5089,5727,6080,5675,5045,4700,4701,4329,4319,4417,4902,4721,4585,4451,5273,4634,4859,4899,4866,5253,4906,5052,4955,4602,5124,5001,5064,5651,5731,5278,5541,5374,5762,5288
