name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,338,253,248,273,266,244,321,236,338,280,243,257,241,232,243,274,259,264,268,263,407,420,361,290,290,295,317,238,246,237,319,320,270,271,253,275,275,230,280,345,320,358,293,247,278,427,349,439,281,316,307,264,216,258,292,217,268,294,272,410,361,273,295,269,268,339,313,284,288,457,406,243,419,255,295,298,271,297,265,257,333,282,273,271,256,247,233,241,268,274,368,226,315,262,214,292,241,258,241,258,392,305,285,283,270,254,311,275,358,253,317,229,246,223,239,352,313,301,268,280
2,866,738,755,848,766,750,824,742,855,806,811,777,769,713,803,782,814,796,823,762,972,1085,897,799,784,806,816,739,737,756,865,811,756,812,755,728,721,697,800,1162,797,858,738,786,833,961,807,907,713,821,785,738,697,734,841,655,749,776,721,859,828,729,764,743,731,770,763,841,816,900,840,725,967,717,802,741,745,801,759,683,780,737,686,768,765,700,708,703,808,761,739,609,688,607,543,717,580,606,627,620,804,701,610,659,599,689,704,643,673,642,722,651,538,638,555,755,703,886,628,655
3,1479,1269,1309,1431,1360,1318,1370,1318,1475,1345,1354,1281,1282,1250,1341,1218,1257,1299,1356,1328,1581,1681,1463,1330,1341,1391,1413,1276,1321,1316,1494,1304,1277,1333,1244,1275,1302,1272,1341,1902,1363,1459,1293,1333,1474,1609,1352,1462,1285,1436,1318,1262,1240,1285,1398,1188,1332,1312,1277,1355,1371,1287,1321,1306,1304,1288,1336,1472,1431,1417,1417,1257,1499,1247,1368,1278,1237,1389,1331,1208,1336,1286,1230,1363,1305,1263,1247,1260,1421,1292,1270,1105,1195,1126,1024,1242,1099,1149,1111,1104,1386,1312,1144,1163,1234,1209,1250,1234,1207,1226,1209,1187,1093,1219,1063,1353,1279,1479,1179,1232
4,2035,1770,1800,1955,1891,1798,1885,1834,2050,1868,1953,1868,1844,1756,1882,1781,1780,1862,1887,1849,2096,2211,2033,1800,1836,1891,1948,1785,1830,1840,1945,1774,1799,1803,1750,1762,1798,1793,1839,2647,1811,2012,1829,1771,2113,2117,1876,1890,1797,1922,1896,1789,1777,1838,1877,1686,1809,1897,1805,1796,1827,1792,1782,1798,1862,1763,1825,1972,1886,1842,1892,1737,1970,1712,1842,1786,1703,1842,1844,1707,1765,1801,1660,1851,1806,1765,1734,1839,1989,1829,1617,1637,1533,1511,1386,1601,1507,1533,1506,1474,1779,1717,1547,1543,1658,1597,1592,1694,1556,1676,1618,1617,1460,1616,1488,1736,1674,1928,1651,1600
5,2589,2346,2369,2511,2508,2397,2551,2399,2709,2457,2467,2409,2365,2276,2430,2331,2357,2398,2446,2405,2635,2768,2597,2335,2440,2525,2525,2362,2438,2450,2439,2351,2373,2360,2272,2302,2403,2417,2399,3479,2418,2556,2455,2387,2763,2725,2471,2510,2397,2549,2467,2398,2451,2414,2512,2275,2362,2471,2352,2368,2393,2381,2383,2428,2445,2314,2420,2564,2464,2345,2440,2287,2512,2267,2468,2393,2237,2420,2453,2270,2297,2401,2173,2446,2391,2361,2302,2447,2590,2413,2212,2151,2061,2072,1893,2130,2057,2149,2062,2046,2391,2296,2154,2110,2296,2164,2097,2261,2174,2223,2173,2131,2044,2171,2032,2325,2281,2536,2446,2237
6,3177,2910,2871,2990,3061,2940,3083,3013,3264,2921,2987,2948,2879,2849,2937,2924,2864,2935,2962,3014,3173,3283,3131,2895,2987,3025,3060,2942,2975,2960,2877,2814,2853,2876,2733,2834,2924,2982,2860,4315,2984,3028,2916,2911,3343,3236,2957,2940,2918,3041,2920,2886,2946,2912,3070,2804,2858,2967,2848,2852,2917,2875,2855,3023,2935,2800,2933,3084,2939,2803,2915,2747,2951,2722,2903,2893,2731,2929,2964,2768,2757,2929,2694,2973,2947,2879,2836,3030,3099,2937,2615,2668,2458,2422,2349,2582,2504,2575,2460,2461,2839,2793,2689,2477,2668,2616,2509,2640,2537,2679,2638,2538,2446,2545,2493,2812,2665,2921,2908,2726
7,3744,3494,3436,3611,3644,3475,3655,3585,3984,3529,3462,3647,3394,3390,3446,3492,3401,3510,3562,3635,3729,3874,3674,3481,3578,3624,3660,3480,3603,3575,3428,3374,3439,3477,3293,3353,3518,3639,3448,5198,3549,3603,3491,3633,4007,3822,3566,3561,3499,3656,3467,3508,3494,3497,3555,3453,3419,3512,3401,3423,3503,3440,3494,3698,3515,3446,3617,3679,3517,3325,3500,3293,3474,3291,3446,3468,3270,3518,3561,3350,3312,3477,3259,3520,3511,3442,3418,3595,3710,3502,3213,3215,3047,2992,2944,3147,3029,3148,2967,2990,3411,3341,3204,2986,3249,3185,2994,3325,3123,3342,3223,3033,3002,3092,3067,3425,3299,3450,3523,3303
8,4320,4015,3910,4087,4106,3985,4275,4127,4537,4024,3998,4207,3928,3888,3961,4038,3937,4077,4096,4233,4270,4452,4234,4059,4115,4163,4239,4005,4159,4108,3847,3808,3925,3921,3788,3874,3972,4104,3970,6431,4027,4094,3946,4178,4556,4323,4071,4070,3978,4284,3913,3991,4005,3968,4061,4022,3903,4025,3891,3964,3946,3942,3964,4305,3963,3872,4098,4184,4051,3758,3964,3775,3917,3752,3903,3944,3736,3994,4019,3851,3888,3996,3750,4058,4033,3936,3961,4118,4237,3997,3645,3651,3382,3394,3330,3598,3428,3504,3417,3357,3790,3727,3654,3427,3697,3705,3442,3766,3566,3804,3637,3460,3444,3491,3525,3950,3882,3863,4018,3740
9,4926,4545,4488,4669,4662,4510,4935,4708,5065,4614,4485,4799,4448,4428,4473,4619,4515,4639,4682,4784,4851,5084,4788,4658,4723,4786,4823,4585,4802,4725,4414,4353,4508,4497,4405,4505,4498,4741,4536,7433,4614,4656,4514,4927,5183,5045,4642,4639,4511,4936,4436,4566,4624,4630,4646,4634,4443,4544,4462,4578,4583,4519,4526,4881,4556,4581,4772,4767,4657,4266,4515,4373,4427,4292,4478,4490,4359,4550,4631,4438,4404,4557,4351,4584,4585,4461,4517,4650,4820,4613,4183,4262,3867,3940,3867,4218,4098,4045,3984,3903,4391,4331,4178,3974,4251,4435,4033,4388,4190,4381,4200,3963,4036,4029,4120,4472,4441,4427,4591,4273
10,5536,5028,5048,5216,5198,5096,5521,5308,5718,5158,5030,5317,4970,4951,4973,5151,5121,5230,5221,5357,5395,5722,5373,5240,5270,5378,5363,5131,5423,5287,4973,4879,4960,4991,4850,5063,5125,5336,5044,8656,5144,5207,4968,5465,5663,5641,5191,5145,4976,5512,4923,5079,5126,5131,5152,5165,4942,5048,5084,5102,5114,4975,5002,5392,5033,5121,5294,5269,5152,4763,4978,4903,4879,4765,4890,4983,4891,5029,5146,4950,4913,5112,4895,5092,5169,4982,5001,5204,5427,5124,4605,4736,4319,4314,4256,4750,4496,4596,4428,4358,4833,4733,4624,4411,4626,4895,4363,4858,4629,4838,4662,4404,4429,4422,4607,4904,4884,4856,5105,4725
