name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,270,272,280,283,252,388,269,286,243,254,408,332,331,324,300,301,272,354,292,221,458,341,433,312,284,283,288,274,297,327,379,353,288,376,320,294,298,272,324,291,341,298,324,303,221,266,279,278,262,298,364,258,256,302,286,298,307,331,254,284,382,342,287,242,379,327,418,313,321,513,453,281,295,311,295,310,388,249,259,294,411,260,228,256,258,260,321,384,246,312,205,202,216,218,238,231,193,234,222,204,270,281,227,289,125,294,227,255,222,265,306,261,317,245,254,273,262,268,278,289
2,798,744,788,687,728,898,764,820,707,650,1000,887,821,753,855,816,843,898,812,709,967,826,895,783,768,723,759,758,732,793,821,802,765,862,785,821,767,717,805,769,822,762,773,782,688,743,755,737,710,778,821,735,780,868,853,832,855,884,800,794,970,915,854,783,893,837,986,880,895,1128,1095,859,847,839,770,891,939,748,716,815,925,783,762,725,741,716,867,877,747,852,708,618,646,629,685,623,593,714,700,670,641,595,630,602,523,615,571,641,567,599,586,581,666,581,634,644,617,676,607,712
3,1441,1283,1379,1285,1308,1518,1325,1384,1298,1248,1811,1479,1479,1430,1485,1417,1523,1552,1383,1317,1675,1412,1520,1318,1370,1348,1406,1371,1376,1388,1488,1479,1369,1438,1379,1408,1385,1361,1328,1371,1416,1297,1372,1370,1335,1286,1416,1324,1258,1345,1414,1382,1421,1572,1457,1488,1461,1550,1483,1449,1650,1677,1559,1451,1552,1469,1666,1599,1621,1751,1833,1541,1487,1550,1388,1507,1551,1401,1379,1419,1598,1387,1342,1418,1321,1312,1494,1476,1324,1501,1453,1160,1197,1138,1219,1152,1138,1378,1206,1257,1219,1278,1210,1162,1145,1191,1124,1266,1187,1175,1088,1107,1261,1157,1185,1281,1284,1316,1257,1411
4,1948,1817,1899,1806,1838,2039,1839,1922,1797,1757,2455,2007,2067,1958,2090,1946,2226,2111,1974,1876,2287,1897,1969,1811,1813,1941,1975,1932,1900,1866,1938,2016,1835,1938,1921,1966,1879,1892,1823,1903,1944,1750,1827,1851,1870,1749,1888,1857,1708,1885,1984,1915,2014,2136,2037,2087,2020,2178,2030,2003,2214,2302,2191,1998,2115,2072,2259,2196,2163,2292,2479,2120,2068,2129,2018,2083,2140,1990,1875,1996,2110,1933,1843,2015,1934,1792,2024,2027,1921,2043,1999,1567,1602,1603,1740,1572,1662,1875,1719,1751,1599,1708,1684,1512,1509,1655,1559,1684,1568,1547,1456,1502,1664,1552,1653,1751,1669,1810,1819,1888
5,2532,2412,2460,2419,2437,2671,2455,2501,2417,2375,3232,2683,2765,2621,2721,2538,2936,2737,2615,2519,3048,2594,2626,2492,2495,2538,2579,2594,2765,2542,2537,2659,2517,2551,2542,2566,2505,2519,2472,2744,2528,2365,2468,2504,2383,2344,2476,2477,2296,2559,2664,2507,2740,2775,2685,2789,2683,2951,2679,2757,2868,3064,2929,2700,2804,2794,2978,2853,2943,2888,3094,2734,2689,2846,2736,2814,2868,2718,2608,2696,2708,2580,2503,2645,2648,2394,2601,2656,2544,2648,2537,2100,2132,2134,2444,2103,2308,2594,2329,2295,2273,2370,2344,2081,2138,2277,2107,2378,2286,2071,1993,2144,2315,2169,2299,2281,2416,2519,2599,2548
6,3039,2966,3069,2987,3013,3172,2972,3044,2917,2997,3904,3255,3360,3186,3302,3160,3563,3329,3170,3134,3612,3067,3099,3001,3091,3088,3149,3188,3359,3090,3016,3195,3000,3080,3070,3149,3018,3082,3032,3292,3025,2872,2969,2997,2877,2878,3046,2997,2770,3128,3211,3042,3361,3363,3351,3398,3298,3637,3294,3327,3520,3774,3610,3274,3518,3423,3598,3485,3494,3448,3648,3400,3267,3436,3376,3447,3486,3340,3191,3268,3363,3139,3080,3280,3198,2942,3083,3283,3168,3155,2965,2754,2630,2613,3006,2612,2917,3186,2882,2845,2699,2855,2830,2485,2627,2747,2486,2853,2706,2446,2414,2650,2684,2576,2645,2842,2921,3046,3239,3246
7,3656,3656,3710,3666,3687,3740,3542,3685,3582,3841,4644,3909,4043,3791,3968,3834,4227,3928,3857,3931,4376,3691,3898,3724,3718,3755,3758,3887,4190,3776,3626,3879,3682,3797,3681,3802,3772,3742,3655,3976,3679,3528,3656,3621,3619,3508,3701,3577,3391,3757,3804,3738,4072,4087,4120,4037,3986,4377,4015,4059,4276,4688,4353,3949,4385,4182,4391,4158,4201,4091,4434,4081,4031,4169,4146,4129,4254,4055,3902,3915,4064,3794,3847,3980,3823,3565,3644,4070,4024,3832,3482,3501,3202,3183,3708,3149,3653,3902,3564,3563,3329,3542,3580,3180,3298,3450,3136,3559,3376,3032,3007,3280,3332,3248,3273,3498,3714,4001,4069,3954
8,4277,4260,4308,4275,4308,4290,4079,4273,4114,4544,5270,4532,4693,4355,4565,4580,4798,4570,4569,4589,5009,4131,4410,4339,4358,4352,4363,4489,4833,4378,4173,4460,4261,4442,4244,4408,4306,4300,4267,4503,4235,4094,4315,4071,4100,4046,4233,4066,3977,4350,4388,4372,4661,4749,4721,4657,4625,5136,4625,4671,4888,5308,4988,4606,5022,4779,5035,4669,4779,4628,5044,4669,4634,4796,4819,4775,5010,4765,4511,4478,4705,4421,4308,4579,4345,4150,4207,4592,4655,4506,3987,4143,3668,3706,4283,3722,4261,4593,4180,4216,3917,4087,4121,3685,3781,3990,3539,3973,3837,3467,3399,3753,3805,3749,3771,4126,4368,4626,4816,4666
9,5001,5001,4983,4849,5007,4931,4773,4962,4842,5272,5949,5204,5489,5015,5179,5218,5628,5280,5321,5371,5797,4864,5119,5189,5182,5126,4971,5273,5553,5168,4862,5241,4971,5195,4933,5076,5011,4938,4954,5186,4963,4765,4961,4677,4720,4848,4925,4600,4554,4992,5017,5034,5329,5445,5338,5447,5428,5988,5362,5503,5657,6156,5767,5314,5707,5508,5737,5257,5503,5273,5680,5464,5398,5489,5637,5451,5765,5583,5242,5236,5615,5065,4957,5138,5015,4727,4852,5312,5429,5218,4595,4761,4216,4340,4994,4351,5015,5469,4799,4833,4529,4811,4903,4433,4499,4564,4318,4596,4510,4089,3966,4431,4439,4428,4465,4908,5087,5401,5563,5559
10,5633,5618,5557,5475,5611,5582,5294,5550,5335,5968,6593,5889,6042,5696,5719,5815,6208,5891,5946,6129,6387,5420,5709,5721,5708,5882,5636,5946,6145,5769,5400,5761,5534,5808,5505,5691,5583,5542,5584,5796,5544,5297,5498,5307,5334,5380,5521,5133,5114,5528,5570,5655,5977,6106,5957,6015,6059,6733,5952,6159,6300,6918,6390,6077,6433,6085,6386,5852,6156,5845,6302,6108,6067,6118,6246,6075,6397,6324,5891,5861,6245,5595,5663,5726,5635,5301,5397,6120,6127,5688,5200,5315,4748,4914,5585,4927,5616,6115,5365,5362,5035,5375,5471,4958,4951,5017,4724,5042,5009,4551,4389,4902,4968,4953,4989,5489,5743,5951,6164,6167
