name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,258,342,270,323,273,301,303,287,281,270,717,489,272,255,354,252,270,207,284,229,282,280,270,315,348,251,271,408,227,282,467,248,279,259,295,291,235,261,237,266,248,353,371,310,357,313,316,481,297,250,425,367,363,278,242,322,274,312,390,337,302,277,318,281,253,318,361,206,299,282,328,285,529,280,241,229,251,254,221,258,308,259,221,234,288,284,290,254,224,253,498,341,283,319,325,253,271,300,274,308,309,309,231,337,319,299,334,372,376,358,408,333,264,295,245,297,285,287,292,296
2,728,818,688,795,706,785,689,743,759,690,1263,1053,833,740,876,815,799,681,806,711,792,797,802,928,865,764,844,880,701,796,1002,798,713,688,766,745,652,736,702,712,764,847,833,772,881,774,757,879,768,736,894,834,752,763,690,753,757,847,958,795,757,773,902,762,753,757,888,684,742,789,790,751,1003,751,681,684,770,708,656,718,766,719,653,718,772,799,740,757,679,819,897,723,629,719,745,658,659,658,655,710,678,710,592,723,641,700,683,758,726,715,767,695,642,641,627,614,641,626,631,635
3,1349,1401,1278,1349,1167,1373,1213,1381,1294,1206,1953,1765,1496,1318,1424,1355,1367,1183,1374,1224,1302,1378,1399,1529,1411,1325,1393,1484,1253,1384,1503,1347,1283,1254,1400,1316,1223,1357,1311,1306,1429,1482,1450,1408,1541,1378,1316,1441,1322,1344,1443,1342,1245,1372,1197,1280,1357,1483,1552,1334,1388,1335,1462,1344,1367,1275,1492,1244,1253,1326,1340,1252,1607,1339,1223,1235,1353,1268,1216,1259,1253,1279,1134,1241,1277,1324,1280,1266,1240,1389,1377,1193,1052,1194,1152,1115,1130,1075,1150,1172,1261,1251,1112,1262,1186,1166,1234,1232,1240,1175,1289,1257,1144,1180,1142,1107,1116,1114,1189,1122
4,1851,1903,1763,1816,1561,1846,1593,1914,1831,1711,2467,2375,2057,1905,1939,1891,1852,1655,1919,1678,1848,1939,1906,2113,1942,1811,1882,2051,1775,1926,1936,1842,1856,1701,1919,1776,1715,1858,1793,1839,1979,1954,2025,2001,2110,1884,1815,1936,1825,1937,1968,1773,1693,1838,1629,1733,1913,2011,2061,1957,1945,1793,1978,1895,1926,1762,2041,1754,1781,1763,1784,1732,2102,1778,1678,1691,1844,1724,1676,1785,1671,1778,1583,1815,1759,1850,1746,1731,1763,1859,1769,1555,1462,1630,1582,1538,1529,1444,1567,1594,1677,1627,1468,1623,1552,1563,1608,1631,1582,1558,1730,1631,1512,1508,1504,1482,1482,1469,1519,1502
5,2451,2489,2358,2436,2109,2471,2171,2446,2515,2317,3049,3040,2576,2509,2539,2498,2467,2226,2465,2221,2371,2600,2505,2719,2543,2415,2472,2662,2401,2523,2800,2490,2539,2285,2534,2352,2261,2441,2488,2484,2594,2573,2583,2650,2853,2532,2421,2474,2386,2547,2548,2319,2245,2446,2129,2279,2495,2618,2725,2711,2606,2396,2548,2520,2581,2333,2631,2401,2400,2373,2387,2355,2744,2335,2233,2284,2451,2305,2262,2417,2140,2316,2118,2436,2363,2389,2322,2389,2381,2460,2272,1995,1932,2088,2003,2008,2060,1924,2062,2060,2227,2204,2077,2135,2088,2083,2141,2099,2088,2112,2313,2162,1984,2063,2032,1969,2000,1964,2043,2028
6,2991,2916,2890,2883,2554,2970,2670,2855,3004,2872,3741,3659,3087,3049,3109,3040,3016,2767,2980,2731,2873,3198,3020,3284,3096,3048,2945,3246,2952,3019,3351,2933,3021,2844,2983,2861,2721,2862,3058,3055,3215,3084,3192,3149,3398,3042,2916,2927,2867,3010,3021,2817,2687,2886,2590,2787,3117,3138,3390,3243,3162,2890,3084,3024,3122,2828,3097,2930,2926,2907,2882,2861,3270,2812,2726,2796,3003,2841,2758,2940,2566,2798,2564,2961,2887,2896,2862,2919,2878,2969,2714,2351,2369,2470,2446,2407,2502,2380,2537,2452,2650,2607,2421,2462,2417,2427,2504,2531,2461,2448,2748,2539,2327,2390,2395,2339,2353,2315,2352,2374
7,3654,3490,3494,3499,3052,3533,3172,3396,3620,3509,4414,4382,3582,3622,3777,3627,3611,3353,3539,3231,3495,3887,3565,3911,3727,3649,3596,3891,3616,3574,4018,3577,3569,3545,3812,3427,3344,3462,3827,3725,3845,3651,3869,3880,4083,3662,3498,3461,3431,3651,3610,3357,3255,3415,3189,3354,3735,3730,4170,3825,3764,3575,3729,3674,3841,3449,3655,3501,3519,3481,3530,3417,3965,3445,3334,3437,3613,3417,3319,3502,3059,3352,3140,3540,3552,3480,3453,3525,3520,3526,3195,2873,2918,3046,2980,2982,3032,2935,3036,2969,3296,3218,2965,2978,2945,2954,3023,3016,2948,3009,3390,3040,2925,2919,2936,2873,2878,2902,2902,2887
8,4225,3936,4139,3948,3545,4028,3563,3911,4066,4004,4953,4956,4118,4182,4331,4191,4082,3888,4049,3853,3994,4474,4133,4478,4261,4224,4211,4515,4233,4117,4508,4104,4039,4077,4465,3905,3897,3932,4421,4359,4327,4175,4581,4543,4581,4156,3968,3939,3906,4144,4128,3799,3845,3904,3680,3886,4242,4327,4820,4392,4290,4126,4290,4211,4441,3974,4139,4123,4028,4005,3985,3944,4519,3899,3800,3893,4165,3857,3818,3929,3538,3843,3666,4057,4143,4077,3983,4062,4026,4044,3643,3372,3421,3495,3430,3429,3548,3403,3502,3423,3770,3605,3352,3429,3342,3365,3443,3385,3365,3413,3814,3390,3369,3316,3338,3308,3350,3366,3365,3362
9,4834,4483,4772,4513,4158,4634,4111,4527,4718,4652,5725,5663,4662,4828,4977,4833,4614,4506,4611,4446,4565,5128,4761,5129,4895,4904,4855,5134,4931,4748,5094,4802,4638,4663,5314,4511,,4573,5056,5118,4941,4856,5319,5228,5134,4801,4561,4483,4486,4785,4748,4366,4380,4501,4237,4427,4845,4975,5497,4978,4906,4804,4910,4829,5072,4642,4677,4766,4650,4564,4528,4578,5146,4470,4375,4486,4837,4344,4379,4479,4052,4402,4194,4607,4747,4647,4628,4658,4601,4629,4124,3858,3997,4021,3918,3966,4028,3955,4098,3928,4381,4149,3926,3975,3932,3914,4054,3920,3885,3986,4465,3944,3923,3867,3919,3866,3941,3963,4070,3925
10,5350,4972,5416,4980,4656,5227,4545,5012,5314,5172,6331,6258,5241,5453,5557,5480,5142,5091,5121,5052,5112,5719,5367,6000,5494,5555,5474,5676,5550,5302,5639,5320,5135,5143,5875,5038,,5150,5578,5799,5467,5471,5895,5783,5860,5334,5040,4956,4975,5355,5265,4816,4837,5009,4769,4974,5434,5604,6150,5629,5452,5313,5450,5358,5633,5188,5176,5300,5151,5082,4996,5098,5678,4951,4896,4946,5369,4849,4917,4932,4492,4910,4717,5184,5331,5304,5127,5311,5126,5165,4531,4355,4507,4499,4382,4421,4549,4430,4549,4431,4910,4613,4411,4422,4310,4368,4476,4378,4378,4526,4872,4339,4364,4298,4390,4302,4363,4431,4524,4437
