name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,426,284,441,331,362,416,299,426,391,328,570,467,362,473,334,362,411,413,384,340,408,391,436,575,315,378,366,406,446,471,299,257,314,324,327,300,357,349,385,345,294,296,425,305,357,301,307,300,356,361,486,402,327,380,350,343,296,357,301,269,335,337,301,301,301,292,413,284,401,305,312,399,374,300,279,301,255,268,259,270,314,319,379,316,303,261,455,255,378,307,270,274,217,199,302,255,338,363,311,227,262,226,201,226,276,308,241,288,255,300,339,323,350,370,357,387,352,263,376,347
2,1049,793,944,809,887,928,813,863,904,857,1181,1134,1092,1030,923,921,998,1064,858,848,977,983,1015,1242,946,1099,928,1230,1121,981,975,651,780,775,773,685,719,768,886,745,729,740,943,851,830,736,721,743,835,936,1151,947,927,934,934,777,744,800,752,747,834,747,760,722,724,673,829,647,829,735,836,873,781,743,778,788,706,790,737,747,801,866,936,721,746,736,964,737,854,783,633,654,669,623,687,815,722,747,657,592,545,553,526,503,639,736,730,670,704,689,708,748,810,790,723,808,844,736,1003,778
3,1678,1425,1631,1456,1650,1611,1420,1499,1601,1524,1880,1847,2040,1550,1708,1695,1675,1901,1482,1460,1714,1693,1938,2120,1686,1892,1675,1937,1955,1716,1572,1245,1348,1314,1347,1286,1232,1307,1496,1275,1265,1349,1645,1563,1723,1282,1418,1335,1523,1715,2002,1669,1613,1615,1759,1385,1395,1518,1299,1298,1425,1303,1328,1310,1272,1219,1649,1185,1346,1331,1437,1457,1323,1287,1360,1325,1272,1708,1372,1528,1411,1672,1741,1218,1279,1293,1600,1300,1483,1385,1062,1086,1116,994,1119,1524,1253,1189,1227,1063,1004,1061,960,1015,1108,1362,1299,1142,1177,1251,1338,1351,1422,1414,1318,1340,1406,1319,1711,1259
4,2247,1971,2128,1998,2148,2086,1963,1979,2196,2087,2555,2546,2860,2151,2260,2488,2268,2483,2047,2114,2290,2324,2507,2662,2282,2418,2494,2535,2557,2322,1995,1707,1780,1702,1768,1710,1684,1755,2011,1760,1701,1785,2376,2078,2242,1750,1907,1874,2003,2233,2715,2215,2178,2220,2347,1888,1881,1986,1736,1837,1794,1693,1740,1744,1649,1614,2361,1594,1748,1821,1848,1891,1725,1678,1798,1714,1739,2152,1860,2019,2091,2395,2206,1610,1693,1711,2161,1691,2044,1953,1469,1468,1531,1386,1547,2016,1660,1664,1632,1492,1378,1445,1349,1438,1484,1850,1775,1546,1666,1714,1911,1834,1840,1965,1809,1830,1898,1861,2197,1806
5,2870,2645,2828,2707,2864,2721,2642,2661,2892,2826,3352,3279,3573,2858,2967,3304,2949,3172,2842,2679,2979,3130,3379,3436,3159,3183,3299,3178,3214,3072,2595,2301,2396,2250,2301,2305,2252,2503,2546,2283,2337,2383,3054,2713,2805,2361,2476,2526,2673,2897,3641,2901,2862,2991,3109,2624,2484,2661,2254,2379,2342,2235,2305,2288,2213,2151,3086,2156,2301,2431,2424,2475,2333,2290,2314,2207,2321,2732,2545,2645,2641,3183,2861,2153,2264,2277,2744,2188,2630,2679,1940,1901,1971,1815,2031,2548,2270,2217,2179,2023,1830,1964,1891,1922,1995,2450,2421,2114,2263,2235,2584,2453,2557,2617,2537,2394,2489,2536,2821,2396
6,3476,3181,3360,3263,3389,3294,3142,3145,3429,3385,4087,4036,4121,3483,3632,3991,3686,3857,3408,3263,3650,3867,4126,4085,3872,3783,3996,3840,3802,3703,3119,2796,2827,2690,2743,2769,2680,2982,2972,2782,2820,2950,3614,3243,3326,2954,2876,3099,3168,3594,4399,3440,3457,3617,4143,3402,2991,3089,2668,2868,2777,2661,2717,2728,2629,2583,3522,2585,2671,2809,2800,2910,2750,2678,2790,2631,2745,3186,3033,3213,3187,3802,3580,2567,2621,2729,3253,2666,3146,3237,2408,2342,2385,2330,2435,2952,2663,2618,2598,2565,2141,2317,2288,2430,2524,2986,3131,2569,2742,2608,3097,2913,3049,3220,3025,2907,2977,3066,3319,2991
7,4137,3820,3985,4007,4118,4041,3806,3823,4098,4037,4903,4864,4924,4193,4344,4884,4501,4515,4020,3886,4412,4723,4903,5020,4756,4594,4904,4553,4585,4395,3691,3535,3484,3228,3295,3372,3263,3542,3681,3407,3502,3712,4353,3950,4080,3589,3506,3850,3771,4310,5324,4159,4168,4515,4916,4166,3626,3683,3210,3620,3372,3213,3258,3252,3182,3083,4102,3154,3213,3407,3434,3491,3326,3263,3339,3106,3305,3761,3677,3864,3918,4534,4503,3130,3201,3247,3910,3265,3757,3819,2880,2804,2898,2851,2913,3455,3326,3175,3237,3137,2631,2859,2791,3043,3194,3620,3795,3104,3351,3293,3819,3639,3734,3913,3628,3512,3564,3744,4023,3579
8,4704,4405,4482,4645,4637,4611,4345,4353,4588,4600,5708,5619,5725,4873,5010,5619,5335,4997,4777,4493,5132,5457,5625,5696,5518,5233,5782,5252,5149,5206,4178,4145,3948,3682,3748,3836,3729,4124,4161,3906,4057,4333,4946,4622,4646,4192,3984,4407,4359,4856,6161,4741,4851,5220,5615,4631,4036,4180,3657,4055,3803,3633,3627,3627,3622,3473,4520,3586,3614,3847,3895,3921,3758,3650,3808,3506,3717,4199,4220,4418,4428,5167,5070,3575,3604,3749,4384,3750,4276,4351,3289,3219,3428,3371,3371,3886,3819,3633,3798,3566,3047,3373,3244,3528,3696,4226,4413,3628,3917,3752,4454,4152,4264,4490,4189,4048,4144,4381,4609,4225
9,5377,5156,5131,5344,5335,5286,5004,5010,5202,5284,6579,6322,6413,5785,5754,6358,6109,5635,5491,5115,5851,6370,6338,6555,6303,5977,6664,6076,6007,5991,4765,4754,4553,4277,4348,4538,4282,4843,4721,4470,4748,4960,5682,5297,5340,4912,4664,5023,5083,5653,7241,5451,5642,6098,6329,5239,4664,4854,4330,4630,4363,4194,4144,4141,4184,4144,5045,4251,4161,4541,4481,4566,4298,4205,4386,4012,4312,4893,4859,4994,5092,5837,5554,4152,4118,4295,4965,4347,4898,4925,3803,3696,3915,3874,3997,4417,4381,4105,4443,4185,3558,3926,3749,4164,4310,4973,5106,4162,4577,4470,5288,4800,5019,5249,4810,4783,4775,5203,5300,4963
10,5903,5718,5658,5871,5929,5873,5561,5562,5694,5869,7479,7092,7186,6561,6498,7019,6973,6277,6153,5750,6646,7181,6975,7301,7083,6710,7481,6945,6782,6735,5247,5278,5048,4759,4817,5078,4838,5381,5238,4959,5320,5549,6313,5831,5869,5509,5166,5627,5653,6317,8070,6038,6288,6819,6865,5678,5296,5368,4827,5046,4860,4629,4561,4553,4599,4568,5480,4715,4511,5018,5035,5052,4743,4695,4955,4464,4801,5396,5339,5523,5593,6444,6132,4581,4574,4780,5527,4831,5461,5489,4299,4163,4409,4344,4505,4896,4891,4585,5025,4637,3978,4413,4236,4661,4886,5595,5707,4711,5155,4959,5941,5345,5599,5826,5452,5419,5351,5920,5964,5703
